date,board,nPages,nTopics_est,nSample
2014-02-19,"('General Category', 'General Discussion')",16,775,308.0
2014-02-19,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-19,"('General Category', 'Security discussion')",1,25,19.0
2014-02-19,"('General Category', 'Product offers')",4,175,89.0
2014-02-19,"('Local forums', 'German')",1,25,11.0
2014-02-19,"('Community', 'Philosophy, Economics and Justice')",1,25,12.0
2014-02-19,"('General Category', 'New features')",1,25,11.0
2014-02-19,"('General Category', 'Bugs')",1,25,18.0
2014-02-19,"('General Category', 'Product categories')",1,25,22.0
2014-02-19,"('Offtopic', 'Generic randomness')",1,25,16.0
2014-02-19,"('Official section', 'News')",1,25,2.0
2014-02-19,"('Official section', 'Info')",1,25,1.0
2014-02-19,"('General Category', 'Vendor discussion')",9,425,204.0
2014-02-23,"('General Category', 'General Discussion')",19,925,164.0
2014-02-23,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-23,"('General Category', 'Security discussion')",2,75,19.0
2014-02-23,"('General Category', 'Product offers')",5,225,67.0
2014-02-23,"('Local forums', 'German')",1,25,9.0
2014-02-23,"('Community', 'Philosophy, Economics and Justice')",1,25,2.0
2014-02-23,"('General Category', 'New features')",1,25,10.0
2014-02-23,"('General Category', 'Bugs')",1,25,16.0
2014-02-23,"('General Category', 'Product categories')",1,25,8.0
2014-02-23,"('Offtopic', 'Generic randomness')",1,25,10.0
2014-02-23,"('Official section', 'News')",1,25,1.0
2014-02-23,"('Official section', 'Info')",1,25,1.0
2014-02-23,"('General Category', 'Vendor discussion')",11,525,136.0
2014-02-24,"('General Category', 'General Discussion')",20,975,95.0
2014-02-24,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-24,"('General Category', 'Security discussion')",2,75,6.0
2014-02-24,"('General Category', 'Product offers')",5,225,24.0
2014-02-24,"('Local forums', 'German')",1,25,1.0
2014-02-24,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-02-24,"('General Category', 'New features')",1,25,3.0
2014-02-24,"('General Category', 'Bugs')",1,25,6.0
2014-02-24,"('General Category', 'Product categories')",1,25,3.0
2014-02-24,"('Offtopic', 'Generic randomness')",1,25,6.0
2014-02-24,"('Official section', 'News')",1,25,1.0
2014-02-24,"('Official section', 'Info')",1,25,1.0
2014-02-24,"('General Category', 'Vendor discussion')",12,575,63.0
2014-03-08,"('General Category', 'General Discussion')",30,1475,694.0
2014-03-08,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-03-08,"('General Category', 'Security discussion')",2,75,51.0
2014-03-08,"('General Category', 'Product offers')",9,425,168.0
2014-03-08,"('Local forums', 'German')",1,25,29.0
2014-03-08,"('Community', 'Philosophy, Economics and Justice')",1,25,4.0
2014-03-08,"('General Category', 'New features')",3,125,30.0
2014-03-08,"('General Category', 'Bugs')",3,125,30.0
2014-03-08,"('General Category', 'Product categories')",3,125,28.0
2014-03-08,"('Offtopic', 'Generic randomness')",1,25,25.0
2014-03-08,"('Official section', 'News')",1,25,1.0
2014-03-08,"('Official section', 'Info')",1,25,1.0
2014-03-08,"('General Category', 'Vendor discussion')",18,875,287.0
2014-03-19,"('General Category', 'General Discussion')",44,2175,844.0
2014-03-19,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-03-19,"('General Category', 'Security discussion')",4,175,44.0
2014-03-19,"('General Category', 'Product offers')",12,575,174.0
2014-03-19,"('Local forums', 'German')",1,25,24.0
2014-03-19,"('Community', 'Philosophy, Economics and Justice')",1,25,4.0
2014-03-19,"('General Category', 'New features')",3,125,89.0
2014-03-19,"('General Category', 'Bugs')",3,125,81.0
2014-03-19,"('General Category', 'Product categories')",2,75,84.0
2014-03-19,"('Offtopic', 'Generic randomness')",3,125,31.0
2014-03-19,"('Official section', 'News')",1,25,1.0
2014-03-19,"('Official section', 'Info')",1,25,1.0
2014-03-19,"('General Category', 'Vendor discussion')",21,1025,283.0
2014-04-05,"('General Category', 'General Discussion')",117,5825,3762.0
2014-04-05,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-04-05,"('General Category', 'Security discussion')",5,225,73.0
2014-04-05,"('General Category', 'Product offers')",19,925,364.0
2014-04-05,"('Local forums', 'German')",2,75,44.0
2014-04-05,"('Community', 'Philosophy, Economics and Justice')",1,25,9.0
2014-04-05,"('General Category', 'Newbie section ')",3,125,107.0
2014-04-05,"('General Category', 'New features')",3,125,16.0
2014-04-05,"('General Category', 'Bugs')",4,175,33.0
2014-04-05,"('General Category', 'Product categories')",3,125,38.0
2014-04-05,"('Offtopic', 'Generic randomness')",4,175,46.0
2014-04-05,"('Official section', 'News')",1,25,1.0
2014-04-05,"('Official section', 'Info')",1,25,1.0
2014-04-05,"('General Category', 'Vendor discussion')",27,1325,311.0
2014-04-16,"('General Category', 'General Discussion')",124,6175,303.0
2014-04-16,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-04-16,"('General Category', 'Security discussion')",6,275,25.0
2014-04-16,"('General Category', 'Product offers')",21,1025,133.0
2014-04-16,"('Local forums', 'German')",2,75,9.0
2014-04-16,"('Community', 'Philosophy, Economics and Justice')",1,25,5.0
2014-04-16,"('General Category', 'Newbie section ')",7,325,208.0
2014-04-16,"('General Category', 'New features')",4,175,6.0
2014-04-16,"('General Category', 'Bugs')",4,175,11.0
2014-04-16,"('General Category', 'Product categories')",3,125,17.0
2014-04-16,"('Offtopic', 'Generic randomness')",4,175,14.0
2014-04-16,"('Official section', 'News')",1,25,1.0
2014-04-16,"('Official section', 'Info')",1,25,1.0
2014-04-16,"('General Category', 'Vendor discussion')",29,1425,155.0
2014-04-24,"('General Category', 'General Discussion')",127,6325,483.0
2014-04-24,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-04-24,"('General Category', 'Security discussion')",6,275,21.0
2014-04-24,"('General Category', 'Product offers')",22,1075,81.0
2014-04-24,"('Local forums', 'German')",2,75,17.0
2014-04-24,"('Community', 'Philosophy, Economics and Justice')",1,25,2.0
2014-04-24,"('General Category', 'Newbie section ')",11,525,209.0
2014-04-24,"('General Category', 'New features')",4,175,7.0
2014-04-24,"('General Category', 'Bugs')",4,175,3.0
2014-04-24,"('General Category', 'Product categories')",3,125,105.0
2014-04-24,"('Offtopic', 'Generic randomness')",4,175,10.0
2014-04-24,"('Official section', 'News')",1,25,1.0
2014-04-24,"('Official section', 'Info')",1,25,1.0
2014-04-24,"('General Category', 'Vendor discussion')",32,1575,137.0
2014-04-27,"('General Category', 'General Discussion')",130,6475,629.0
2014-04-27,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-04-27,"('General Category', 'Security discussion')",6,275,8.0
2014-04-27,"('General Category', 'Product offers')",23,1125,68.0
2014-04-27,"('Local forums', 'German')",2,75,5.0
2014-04-27,"('Community', 'Philosophy, Economics and Justice')",1,25,4.0
2014-04-27,"('General Category', 'Newbie section ')",13,625,108.0
2014-04-27,"('General Category', 'New features')",4,175,1.0
2014-04-27,"('General Category', 'Bugs')",4,175,3.0
2014-04-27,"('General Category', 'Product categories')",3,125,4.0
2014-04-27,"('Offtopic', 'Generic randomness')",4,175,4.0
2014-04-27,"('Official section', 'News')",1,25,1.0
2014-04-27,"('Official section', 'Info')",1,25,1.0
2014-04-27,"('General Category', 'Vendor discussion')",32,1575,99.0
2014-05-10,"('General Category', 'General Discussion')",137,6825,487.0
2014-05-10,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-05-10,"('General Category', 'Security discussion')",6,275,52.0
2014-05-10,"('General Category', 'Product offers')",26,1275,184.0
2014-05-10,"('Local forums', 'German')",3,125,31.0
2014-05-10,"('Community', 'Philosophy, Economics and Justice')",1,25,4.0
2014-05-10,"('General Category', 'Newbie section ')",19,925,347.0
2014-05-10,"('General Category', 'New features')",4,175,12.0
2014-05-10,"('General Category', 'Bugs')",4,175,7.0
2014-05-10,"('General Category', 'Product categories')",5,225,13.0
2014-05-10,"('Offtopic', 'Generic randomness')",4,175,17.0
2014-05-10,"('Official section', 'News')",1,25,1.0
2014-05-10,"('Official section', 'Info')",1,25,1.0
2014-05-10,"('General Category', 'Vendor discussion')",36,1775,206.0
2014-05-14,"('General Category', 'General Discussion')",140,6975,4962.0
2014-05-14,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-05-14,"('General Category', 'Security discussion')",6,275,16.0
2014-05-14,"('General Category', 'Product offers')",27,1325,70.0
2014-05-14,"('Local forums', 'German')",4,175,10.0
2014-05-14,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-05-14,"('General Category', 'Newbie section ')",21,1025,30.0
2014-05-14,"('General Category', 'New features')",4,175,9.0
2014-05-14,"('General Category', 'Bugs')",4,175,8.0
2014-05-14,"('General Category', 'Product categories')",5,225,5.0
2014-05-14,"('Offtopic', 'Generic randomness')",5,225,8.0
2014-05-14,"('Official section', 'News')",1,25,1.0
2014-05-14,"('Official section', 'Info')",1,25,1.0
2014-05-14,"('General Category', 'Vendor discussion')",37,1825,87.0
2014-05-24,"('General Category', 'General Discussion')",144,7175,251.0
2014-05-24,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-05-24,"('General Category', 'Security Discussion')",8,375,22.0
2014-05-24,"('General Category', 'Product Offers')",29,1425,108.0
2014-05-24,"('Local forums', 'German')",3,125,143.0
2014-05-24,"('Community', 'Philosophy, Economics and Justice')",1,25,2.0
2014-05-24,"('General Category', 'Newbie Section ')",23,1125,999.0
2014-05-24,"('General Category', 'Referral Links')",1,25,10.0
2014-05-24,"('General Category', 'New Features')",4,175,136.0
2014-05-24,"('General Category', 'Bugs')",5,225,152.0
2014-05-24,"('General Category', 'Product Categories')",5,225,163.0
2014-05-24,"('Offtopic', 'Generic randomness')",4,175,174.0
2014-05-24,"('Official section', 'News')",1,25,1.0
2014-05-24,"('Official section', 'Info')",1,25,3.0
2014-05-24,"('General Category', 'Vendor Discussion')",39,1925,240.0
2014-05-28,"('General Category', 'General Discussion')",145,7225,31.0
2014-05-28,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-05-28,"('General Category', 'Security Discussion')",8,375,11.0
2014-05-28,"('General Category', 'Product Offers')",30,1475,33.0
2014-05-28,"('Local forums', 'German')",5,225,12.0
2014-05-28,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-05-28,"('General Category', 'Newbie Section ')",25,1225,30.0
2014-05-28,"('General Category', 'Referral Links')",1,25,23.0
2014-05-28,"('General Category', 'New Features')",4,175,5.0
2014-05-28,"('General Category', 'Bugs')",5,225,3.0
2014-05-28,"('General Category', 'Product Categories')",5,225,6.0
2014-05-28,"('Offtopic', 'Generic randomness')",5,225,5.0
2014-05-28,"('Official section', 'News')",1,25,1.0
2014-05-28,"('Official section', 'Info')",1,25,1.0
2014-05-28,"('General Category', 'Vendor Discussion')",40,1975,75.0
2014-05-30,"('General Category', 'General Discussion')",146,7275,1000.0
2014-05-30,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-05-30,"('General Category', 'Security Discussion')",8,375,330.0
2014-05-30,"('General Category', 'Product Offers')",30,1475,1036.0
2014-05-30,"('Local forums', 'German')",5,225,157.0
2014-05-30,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-05-30,"('General Category', 'Newbie Section ')",26,1275,595.0
2014-05-30,"('General Category', 'Referral Links')",1,25,8.0
2014-05-30,"('General Category', 'New Features')",4,175,142.0
2014-05-30,"('General Category', 'Bugs')",5,225,156.0
2014-05-30,"('General Category', 'Product Categories')",5,225,178.0
2014-05-30,"('Offtopic', 'Generic randomness')",4,175,176.0
2014-05-30,"('Official section', 'News')",1,25,1.0
2014-05-30,"('Official section', 'Info')",1,25,1.0
2014-05-30,"('General Category', 'Vendor Discussion')",40,1975,796.0
2014-06-01,"('General Category', 'General Discussion')",147,7325,6091.0
2014-06-01,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-06-01,"('General Category', 'Security Discussion')",8,375,4.0
2014-06-01,"('General Category', 'Product Offers')",31,1525,411.0
2014-06-01,"('Local forums', 'German')",5,225,4.0
2014-06-01,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-06-01,"('General Category', 'Newbie Section ')",26,1275,574.0
2014-06-01,"('General Category', 'Referral Links')",1,25,4.0
2014-06-01,"('General Category', 'New Features')",4,175,1.0
2014-06-01,"('General Category', 'Bugs')",5,225,2.0
2014-06-01,"('General Category', 'Product Categories')",5,225,1.0
2014-06-01,"('Offtopic', 'Generic randomness')",4,175,3.0
2014-06-01,"('Official section', 'News')",1,25,1.0
2014-06-01,"('Official section', 'Info')",1,25,1.0
2014-06-01,"('General Category', 'Vendor Discussion')",41,2025,892.0
2014-06-04,"('General Category', 'General Discussion')",147,7325,93.0
2014-06-04,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-06-04,"('General Category', 'Security Discussion')",8,375,11.0
2014-06-04,"('General Category', 'Product Offers')",31,1525,44.0
2014-06-04,"('Local forums', 'German')",5,225,3.0
2014-06-04,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-06-04,"('General Category', 'Newbie Section ')",28,1375,119.0
2014-06-04,"('General Category', 'Referral Links')",3,125,75.0
2014-06-04,"('General Category', 'New Features')",4,175,1.0
2014-06-04,"('General Category', 'Bugs')",5,225,1.0
2014-06-04,"('General Category', 'Product Categories')",5,225,4.0
2014-06-04,"('Offtopic', 'Generic randomness')",4,175,8.0
2014-06-04,"('Official section', 'News')",1,25,1.0
2014-06-04,"('Official section', 'Info')",1,25,1.0
2014-06-04,"('General Category', 'Vendor Discussion')",41,2025,55.0
2014-06-09,"('General Category', 'General Discussion')",150,7475,153.0
2014-06-09,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-06-09,"('General Category', 'Security Discussion')",9,425,21.0
2014-06-09,"('General Category', 'Product Offers')",32,1575,29.0
2014-06-09,"('Local forums', 'German')",5,225,12.0
2014-06-09,"('Community', 'Philosophy, Economics and Justice')",2,75,3.0
2014-06-09,"('General Category', 'Newbie Section ')",30,1475,36.0
2014-06-09,"('General Category', 'Referral Links')",4,175,29.0
2014-06-09,"('General Category', 'New Features')",4,175,3.0
2014-06-09,"('General Category', 'Bugs')",5,225,2.0
2014-06-09,"('General Category', 'Product Categories')",5,225,5.0
2014-06-09,"('Offtopic', 'Generic randomness')",5,225,8.0
2014-06-09,"('Official section', 'News')",1,25,1.0
2014-06-09,"('Official section', 'Info')",1,25,1.0
2014-06-09,"('General Category', 'Vendor Discussion')",43,2125,17.0
2014-06-10,"('General Category', 'General Discussion')",147,7325,517.0
2014-06-10,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-06-10,"('General Category', 'Security Discussion')",8,375,364.0
2014-06-10,"('General Category', 'Product Offers')",31,1525,1048.0
2014-06-10,"('Local forums', 'German')",5,225,177.0
2014-06-10,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-06-10,"('General Category', 'Newbie Section ')",28,1375,269.0
2014-06-10,"('General Category', 'Referral Links')",3,125,73.0
2014-06-10,"('General Category', 'New Features')",4,175,145.0
2014-06-10,"('General Category', 'Bugs')",5,225,159.0
2014-06-10,"('General Category', 'Product Categories')",5,225,185.0
2014-06-10,"('Offtopic', 'Generic randomness')",4,175,193.0
2014-06-10,"('Official section', 'News')",1,25,1.0
2014-06-10,"('Official section', 'Info')",1,25,1.0
2014-06-10,"('General Category', 'Vendor Discussion')",41,2025,1152.0
2014-06-23,"('General Category', 'General Discussion')",153,7625,6549.0
2014-06-23,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-06-23,"('General Category', 'Security Discussion')",9,425,33.0
2014-06-23,"('Local forums', 'German')",5,225,20.0
2014-06-23,"('Community', 'Philosophy, Economics and Justice')",1,25,9.0
2014-06-23,"('General Category', 'Newbie Section ')",32,1575,1168.0
2014-06-23,"('General Category', 'Referral Links')",4,175,61.0
2014-06-23,"('General Category', 'New Features')",4,175,7.0
2014-06-23,"('General Category', 'Bugs')",5,225,6.0
2014-06-23,"('General Category', 'Product Categories')",5,225,6.0
2014-06-23,"('Offtopic', 'Generic randomness')",4,175,14.0
2014-06-23,"('Official section', 'News')",1,25,1.0
2014-06-23,"('Official section', 'Info')",1,25,1.0
2014-06-23,"('General Category', 'Vendor Discussion')",44,2175,838.0
2014-07-05,"('General Category', 'General Discussion')",157,7825,44.0
2014-07-05,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-07-05,"('General Category', 'Security Discussion')",9,425,24.0
2014-07-05,"('General Category', 'Product Offers')",35,1725,50.0
2014-07-05,"('Community', 'Philosophy, Economics and Justice')",2,75,5.0
2014-07-05,"('General Category', 'Referral Links')",39,1925,45.0
2014-07-05,"('Community', 'Drug Safety')",1,25,7.0
2014-07-05,"('General Category', 'Product Categories')",5,225,11.0
2014-07-05,"('Offtopic', 'Generic randomness')",6,275,11.0
2014-07-05,"('Official section', 'News')",1,25,1.0
2014-07-05,"('Official section', 'Info')",1,25,1.0
2014-07-05,"('General Category', 'Vendor Discussion')",47,2325,22.0
2014-07-17,"('General Category', 'General Discussion')",163,8125,7899.0
2014-07-17,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-07-17,"('General Category', 'Security Discussion')",10,475,428.0
2014-07-17,"('General Category', 'Product Offers')",37,1825,1765.0
2014-07-17,"('Local forums', 'German')",6,275,283.0
2014-07-17,"('Community', 'Philosophy, Economics and Justice')",1,25,17.0
2014-07-17,"('General Category', 'Newbie Section ')",38,1875,1856.0
2014-07-17,"('General Category', 'Referral Links')",50,2475,1945.0
2014-07-17,"('Community', 'Drug Safety')",1,25,6.0
2014-07-17,"('General Category', 'New Features')",5,225,209.0
2014-07-17,"('General Category', 'Bugs')",5,225,172.0
2014-07-17,"('General Category', 'Product Categories')",6,275,155.0
2014-07-17,"('Offtopic', 'Generic randomness')",6,275,103.0
2014-07-17,"('Official section', 'News')",1,25,1.0
2014-07-17,"('Official section', 'Info')",1,25,1.0
2014-07-17,"('General Category', 'Vendor Discussion')",50,2475,2405.0
2014-07-25,"('General Category', 'General Discussion')",164,8175,683.0
2014-07-25,"('General Category', 'Security Discussion')",10,475,27.0
2014-07-25,"('General Category', 'Product Offers')",38,1875,100.0
2014-07-25,"('Local forums', 'German')",7,325,23.0
2014-07-25,"('Community', 'Philosophy, Economics and Justice')",1,25,4.0
2014-07-25,"('General Category', 'Newbie Section ')",41,2025,144.0
2014-07-25,"('General Category', 'Referral Links')",57,2825,343.0
2014-07-25,"('Community', 'Drug Safety')",1,25,4.0
2014-07-25,"('General Category', 'New Features')",5,225,1.0
2014-07-25,"('General Category', 'Bugs')",5,225,56.0
2014-07-25,"('Offtopic', 'Generic randomness')",6,275,55.0
2014-07-25,"('Official section', 'News')",1,25,1.0
2014-07-25,"('Official section', 'Info')",1,25,1.0
2014-07-25,"('General Category', 'Vendor Discussion')",51,2525,133.0
2014-07-29,"('General Category', 'General Discussion')",167,8325,286.0
2014-07-29,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-07-29,"('General Category', 'Security Discussion')",11,525,9.0
2014-07-29,"('General Category', 'Product Offers')",39,1925,30.0
2014-07-29,"('Community', 'Philosophy, Economics and Justice')",1,25,3.0
2014-07-29,"('General Category', 'Newbie Section ')",42,2075,125.0
2014-07-29,"('General Category', 'Referral Links')",85,4225,887.0
2014-07-29,"('Community', 'Drug Safety')",1,25,1.0
2014-07-29,"('General Category', 'New Features')",5,225,1.0
2014-07-29,"('General Category', 'Product Categories')",6,275,247.0
2014-07-29,"('Offtopic', 'Generic randomness')",6,275,1.0
2014-07-29,"('Official section', 'News')",1,25,1.0
2014-07-29,"('Official section', 'Info')",1,25,1.0
2014-07-29,"('General Category', 'Vendor Discussion')",55,2725,104.0
2014-07-30,"('General Category', 'General Discussion')",172,8575,201.0
2014-07-30,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-07-30,"('General Category', 'Security Discussion')",14,675,328.0
2014-07-30,"('General Category', 'Product Offers')",40,1975,25.0
2014-07-30,"('Local forums', 'German')",7,325,265.0
2014-07-30,"('Community', 'Philosophy, Economics and Justice')",1,25,1.0
2014-07-30,"('General Category', 'Newbie Section ')",45,2225,194.0
2014-07-30,"('General Category', 'Referral Links')",73,3625,5.0
2014-07-30,"('Community', 'Drug Safety')",1,25,1.0
2014-07-30,"('General Category', 'New Features')",5,225,1.0
2014-07-30,"('General Category', 'Bugs')",5,225,226.0
2014-07-30,"('General Category', 'Product Categories')",7,325,2.0
2014-07-30,"('Offtopic', 'Generic randomness')",6,275,1.0
2014-07-30,"('Official section', 'News')",1,25,1.0
2014-07-30,"('Official section', 'Info')",1,25,1.0
2014-07-30,"('General Category', 'Vendor Discussion')",55,2725,175.0
2014-08-02,"('General Category', 'General Discussion')",172,8575,7929.0
2014-08-02,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-08-02,"('General Category', 'Security Discussion')",13,625,54.0
2014-08-02,"('General Category', 'Product Offers')",40,1975,1298.0
2014-08-02,"('Local forums', 'German')",7,325,56.0
2014-08-02,"('Community', 'Philosophy, Economics and Justice')",1,25,2.0
2014-08-02,"('General Category', 'Newbie Section ')",51,2525,1575.0
2014-08-02,"('General Category', 'Referral Links')",65,3225,1723.0
2014-08-02,"('Community', 'Drug Safety')",1,25,1.0
2014-08-02,"('General Category', 'New Features')",5,225,2.0
2014-08-02,"('General Category', 'Bugs')",5,225,1.0
2014-08-02,"('General Category', 'Product Categories')",7,325,7.0
2014-08-02,"('Offtopic', 'Generic randomness')",6,275,1.0
2014-08-02,"('Official section', 'News')",1,25,1.0
2014-08-02,"('Official section', 'Info')",1,25,1.0
2014-08-02,"('General Category', 'Vendor Discussion')",55,2725,2050.0
2014-08-05,"('General Category', 'General Discussion')",168,8375,31.0
2014-08-05,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-08-05,"('General Category', 'Security Discussion')",11,525,5.0
2014-08-05,"('General Category', 'Product Offers')",39,1925,25.0
2014-08-05,"('Local forums', 'German')",7,325,4.0
2014-08-05,"('Community', 'Philosophy, Economics and Justice')",2,75,1.0
2014-08-05,"('General Category', 'Newbie Section ')",45,2225,32.0
2014-08-05,"('General Category', 'Referral Links')",43,2125,12.0
2014-08-05,"('Community', 'Drug Safety')",1,25,1.0
2014-08-05,"('General Category', 'New Features')",5,225,2.0
2014-08-05,"('General Category', 'Bugs')",5,225,3.0
2014-08-05,"('General Category', 'Product Categories')",6,275,5.0
2014-08-05,"('Offtopic', 'Generic randomness')",6,275,1.0
2014-08-05,"('Official section', 'News')",1,25,1.0
2014-08-05,"('Official section', 'Info')",1,25,1.0
2014-08-05,"('General Category', 'Vendor Discussion')",53,2625,30.0
2014-08-11,"('General Category', 'General Discussion')",170,8475,8323.0
2014-08-11,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-08-11,"('General Category', 'Security Discussion')",11,525,18.0
2014-08-11,"('General Category', 'Product Offers')",40,1975,1923.0
2014-08-11,"('Local forums', 'German')",7,325,29.0
2014-08-11,"('Community', 'Philosophy, Economics and Justice')",2,75,1.0
2014-08-11,"('General Category', 'Newbie Section ')",48,2375,45.0
2014-08-11,"('General Category', 'Referral Links')",43,2125,1902.0
2014-08-11,"('Community', 'Drug Safety')",1,25,3.0
2014-08-11,"('General Category', 'New Features')",5,225,4.0
2014-08-11,"('General Category', 'Bugs')",5,225,4.0
2014-08-11,"('General Category', 'Product Categories')",6,275,5.0
2014-08-11,"('Offtopic', 'Generic randomness')",6,275,220.0
2014-08-11,"('Official section', 'News')",1,25,1.0
2014-08-11,"('Official section', 'Info')",1,25,1.0
2014-08-11,"('General Category', 'Vendor Discussion')",54,2675,16.0
