index,board,nPages,date,nTopics_est
7,"('General Category', 'Referral Links')",44,2014-08-18,2175
8,"('Community', 'Drug Safety')",1,2014-08-18,25
9,"('General Category', 'New Features')",5,2014-08-18,225
10,"('General Category', 'Bugs')",5,2014-08-18,225
11,"('General Category', 'Product Categories')",6,2014-08-18,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-18,275
13,"('Official section', 'News')",1,2014-08-18,25
14,"('Official section', 'Info')",1,2014-08-18,25
15,"('General Category', 'Vendor Discussion')",54,2014-08-18,2675
0,"('General Category', 'General Discussion')",172,2014-08-20,8575
1,"('General Category', 'Access vendor-only forum')",1,2014-08-20,25
2,"('General Category', 'Security Discussion')",11,2014-08-20,525
3,"('General Category', 'Product Offers')",41,2014-08-20,2025
4,"('Local forums', 'German')",7,2014-08-20,325
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-08-20,25
6,"('General Category', 'Newbie Section ')",50,2014-08-20,2475
7,"('General Category', 'Referral Links')",44,2014-08-20,2175
8,"('Community', 'Drug Safety')",1,2014-08-20,25
9,"('General Category', 'New Features')",5,2014-08-20,225
10,"('General Category', 'Bugs')",5,2014-08-20,225
11,"('General Category', 'Product Categories')",6,2014-08-20,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-20,275
13,"('Official section', 'News')",1,2014-08-20,25
14,"('Official section', 'Info')",1,2014-08-20,25
15,"('General Category', 'Vendor Discussion')",55,2014-08-20,2725
0,"('General Category', 'General Discussion')",173,2014-08-25,8625
